query	candidates	generation	gt	plan	arguments	all	file
Can you provide me with data about this company?	['CompanyInfoTool', 'HouseRentingTool', 'AI2sql', 'keyplays_football', 'rephrase']	{'plan': 'CompanyInfoTool', 'arguments': {}}	{'plan': 'CompanyInfoTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you provide me with data on US-based non-profits?	['CharityTool', 'find_agency', 'storybird_stories', 'GameTool', 'clinical_trial_radar']	{'plan': 'CharityTool', 'arguments': {}}	{'plan': 'CharityTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you provide me with governance information on a US-based non-profit?	['speechki_tts_plugin', 'copilot', 'MemeTool', 'Now', 'CharityTool']	{'plan': 'CharityTool', 'arguments': {}}	{'plan': 'CharityTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you provide me with information about the directors of a UK company?	['dev', 'website_performance_insights', 'CompanyInfoTool', 'keywordexplorer', 'CranePumpsManuals']	{'plan': 'CompanyInfoTool', 'arguments': {'company_name': 'a UK company'}}	{'plan': 'CompanyInfoTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you provide me with personalized assistance based on my data?	['social_media_muse', 'Figlet', 'word_counter', 'DataRetrievalTool', 'WebsiteTool']	{'plan': 'DataRetrievalTool', 'arguments': {}}	{'plan': 'DataRetrievalTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you recommend any books for young readers?	['keyplays_football', 'BookTool', 'PDF&URLTool', 'WeatherTool', 'sakenowa']	{'plan': 'BookTool', 'arguments': {}}	{'plan': 'BookTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you recommend me a good book?	['Magnetis', 'blockatlas', 'Substack_IQ', 'BookTool', 'qreator']	{'plan': 'BookTool', 'arguments': {}}	{'plan': 'BookTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you recommend some games for me?	['AusPetrolPrices', 'IndoorPlants', 'GameTool', 'Checkers', 'ApexMap']	{'plan': 'GameTool', 'arguments': {}}	{'plan': 'GameTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you refine the AI response to make it more accurate?	['PolishTool', 'seoanalysis', 'TicTacToe', 'Tax_Calculator', 'word_counter']	{'plan': 'PolishTool', 'arguments': {}}	{'plan': 'PolishTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you remember my information so I don't have to keep repeating myself?	['DataRetrievalTool', 'SSH', 'Horoscopes_by_Inner_Self', 'clearbit_integration', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click']	{'plan': 'DataRetrievalTool', 'arguments': {}}	{'plan': 'DataRetrievalTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you search for a company by its name or Companies House Number?	['BookTool', 'MediaTool', 'CompanyInfoTool', 'PodcastTool', 'wpinteract']	{'plan': 'CompanyInfoTool', 'arguments': {'company_name': None}}	{'plan': 'CompanyInfoTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you show me any free ad-supported TV shows?	['MediaTool', 'exportchat', 'fundsdbsearch', 'LarkBaseImporter', 'rephrase']	{'plan': 'MediaTool', 'arguments': {}}	{'plan': 'MediaTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you show me some images from NASA?	['FinanceTool', 'metaphor_search_api', 'Talkface_IELTS_Prep', 'NASATool', 'ChatOCR']	{'plan': 'NASATool', 'arguments': {}}	{'plan': 'NASATool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you suggest captions for my meme?	['MemeTool', 'website_performance_insights', 'Planfit', 'web_requests', 'ExchangeTool']	{'plan': 'MemeTool', 'arguments': {}}	{'plan': 'MemeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you suggest improvements to my resume without me having to ask?	['ResumeTool', 'GameTool', 'ImageSearch', 'assetOvi', 'Man_of_Many']	{'plan': 'ResumeTool', 'arguments': {}}	{'plan': 'ResumeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you suggest me a gift for my parents?	['GiftTool', 'Algorithma', 'Creaticode_Extension_of_MIT_Scratch', 'website_performance_insights', 'sakenowa']	{'plan': 'GiftTool', 'arguments': {}}	{'plan': 'GiftTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you suggest some gifts for an anniversary?	['GiftTool', 'ResearchFinder', 'TicTacToe', 'RoboAd', 'Glowing']	{'plan': 'GiftTool', 'arguments': {}}	{'plan': 'GiftTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you suggest some nonprofits I can support?	['clinical_trial_radar', 'ProductSearch', 'BookTool', 'AusSurfReport', 'CharityTool']	{'plan': 'CharityTool', 'arguments': {}}	{'plan': 'CharityTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you suggest some podcast episodes related to this topic?	['Sudoku', 'seoanalysis', 'photorealistic', 'PodcastTool', 'DataRetrievalTool']	{'plan': 'PodcastTool', 'arguments': {'topic': 'this topic'}}	{'plan': 'PodcastTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you summarize this podcast for me?	['ExchangeTool', 'airqualityforeast', 'DataRetrievalTool', 'FinanceTool', 'PodcastTool']	{'plan': 'PodcastTool', 'arguments': {}}	{'plan': 'PodcastTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you tell me about recent earthquakes in the Philippines?	['AppyPieAIAppBuilder', 'timeport', 'WebRewind', 'EarthquakeTool', 'WordCloud']	{'plan': 'EarthquakeTool', 'arguments': {}}	{'plan': 'EarthquakeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you tell me about seismic monitoring in the Philippines?	['EarthquakeTool', 'airqualityforeast', 'shimmer_daily', 'GameTool', 'copilot']	{'plan': 'EarthquakeTool', 'arguments': {}}	{'plan': 'EarthquakeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you tell me my daily astrological predictions?	['StrologyTool', 'Now', 'find_agency', 'deployscript', 'brandfetch']	{'plan': 'StrologyTool', 'arguments': {}}	{'plan': 'StrologyTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you tell me the horoscope for all the zodiac signs on May 5th?	['StrologyTool', 'hacktrack', 'metaphor_search_api', 'URLTool', 'ResearchFinder']	{'plan': 'StrologyTool', 'arguments': {'date': '2023-05-05'}}	{'plan': 'StrologyTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you use AI to create a funny meme?	['timemachine', 'CompanyInfoTool', 'total_query_meta_search_engine', 'MemeTool', 'ResearchFinder']	{'plan': 'MemeTool', 'arguments': {}}	{'plan': 'MemeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Could you please provide a prediction for what the EUR/USD rate will be in the next few days?	['Chess', 'ABCmouse', 'Substack_IQ', 'TalentOrg', 'ExchangeTool']	{'plan': 'ExchangeTool', 'arguments': {'from_currency': 'EUR', 'to_currency': 'USD'}}	{'plan': 'ExchangeTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Do you have a memory app I can use?	['MemoryTool', 'universal', 'Review', 'clinical_trial_radar', 'HouseRentingTool']	{'plan': 'MemoryTool', 'arguments': {}}	{'plan': 'MemoryTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Do you have any gift recommendation for a wedding?	['GiftTool', 'CTCP', 'assetOvi', 'competitorppcads', 'locator']	{'plan': 'GiftTool', 'arguments': {}}	{'plan': 'GiftTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Do you have something that will help me keep track of reminders?	['NotesTool', 'timemachine', 'local', 'LawTool', 'recipe_retrieval']	{'plan': 'Notes', 'arguments': {}}	{'plan': 'NotesTool', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Do you have something that will help me remember tasks?	['NotesTool', 'universal', 'hadith', 'WebsiteTool', 'rephrase']	{'plan': 'Notes', 'arguments': {}}	{'plan': 'NotesTool', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Do you know any strategy guides for a specific game?	['GameTool', 'tailor_erp', 'themeparkhipster', 'socialsearch', 'TicTacToe']	{'plan': 'GameTool', 'arguments': {}}	{'plan': 'GameTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I create flashcards?	['Glowing', 'MemoryTool', 'blockatlas', 'CribbageScorer', 'Agones']	{'plan': 'MemoryTool', 'arguments': {}}	{'plan': 'MemoryTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I deploy a website using Netlify?	['JobTool', 'WeatherTool', 'uk_politics', 'SSH', 'WebsiteTool']	{'plan': 'WebsiteTool', 'arguments': {}}	{'plan': 'WebsiteTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I explore space using NASA's media library?	['RepoTool', 'C3_Glide', 'hackit_web_scanner', 'NASATool', 'portfoliopilot']	{'plan': 'NASATool', 'arguments': {}}	{'plan': 'NASATool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I find something to watch with your discovery tool?	['MediaTool', 'NotesTool', 'Horoscopes_by_Inner_Self', 'CarYardBard', 'hackit_web_scanner']	{'plan': 'MediaTool', 'arguments': {}}	{'plan': 'MediaTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I find the daily picture from NASA's APOD?	['clinq', 'URLTool', 'Now', 'placid', 'NASATool']	{'plan': 'NASATool', 'arguments': {}}	{'plan': 'NASATool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I search and discover NASA images?	['ProductComparison', 'photorealistic', 'NASATool', 'speechki_tts_plugin', 'URLTool']	{'plan': 'NASATool', 'arguments': {}}	{'plan': 'NASATool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How can I search for specific images and videos from NASA's library?	['MixerBox_WebSearchG_web_search', 'NASATool', 'Magnetis', 'speak', 'ai_council']	{'plan': 'NASATool', 'arguments': {}}	{'plan': 'NASATool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How do I compare reviews for different games?	['lsongai', 'dover_outreach', 'GameTool', 'keyplays_football', 'stellarexplorer']	{'plan': 'GameTool', 'arguments': {}}	{'plan': 'GameTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
How do I convert 100 US dollars to Euros?	['MediaTool', 'ExchangeTool', 'MixerBox_WebSearchG_web_search', 'Sudoku', 'mini_habits']	{'plan': 'ExchangeTool', 'arguments': {'amount': 100, 'from_currency': 'USD', 'to_currency': 'EUR'}}	{'plan': 'ExchangeTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How do I convert US dollars to Euros?	['CarYardBard', 'magi_codex', 'ExchangeTool', 'dev', 'find_agency']	{'plan': 'ExchangeTool', 'arguments': {'from_currency': 'USD', 'to_currency': 'EUR'}}	{'plan': 'ExchangeTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
How has the exchange rate of the US dollar changed over the past month?	['deployscript', 'web_scraper', 'TicTacToe', 'AutoInfra1', 'ExchangeTool']	{'plan': 'ExchangeTool', 'arguments': {}}	{'plan': 'ExchangeTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I'm looking for information on non-profits in the United States.	['CharityTool', 'PDF&URLTool', 'exportchat', 'DietTool', 'ArtCollection']	{'plan': 'CharityTool', 'arguments': {}}	{'plan': 'CharityTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What are the best movies to watch right now?	['tailor_erp', 'timeport', 'MediaTool', 'chatspot', 'EarthquakeTool']	{'plan': 'MediaTool', 'arguments': {}}	{'plan': 'MediaTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What are the laws on eviction in California?	['VideoSummarizeTool', 'Magnetis', 'LawTool', 'MediaTool', 'competitorppcads']	{'plan': 'LawTool', 'arguments': {'query': 'eviction laws California'}}	{'plan': 'LawTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What are the laws regarding criminal proceedings in California?	['clinical_trial_radar', 'LarkBaseImporter', 'search', 'NewsTool', 'LawTool']	{'plan': 'LawTool', 'arguments': {'jurisdiction': 'California', 'topic': 'criminal proceedings'}}	{'plan': 'LawTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What are the rights of tenants in California?	['CribbageScorer', 'HouseRentingTool', 'PDF_Exporter', 'LawTool', 'champdex']	{'plan': 'LawTool', 'arguments': {'query': 'rights of tenants in California'}}	{'plan': 'LawTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What are the taxes I need to pay in California?	['Planfit', 'NotesTool', 'LawTool', 'ChartTool', 'Agones']	{'plan': 'LawTool', 'arguments': {'query': 'taxes I need to pay in California'}}	{'plan': 'LawTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What does my horoscope have in store for me today?	['StrologyTool', 'AusPetrolPrices', 'timeport', 'recipe_retrieval', 'TicTacToe']	{'plan': 'StrologyTool', 'arguments': {}}	{'plan': 'StrologyTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What does my sun sign say about me today?	['C3_Glide', 'StrologyTool', 'RoboAd', 'word_sneak', 'Algorithma']	{'plan': 'StrologyTool', 'arguments': {}}	{'plan': 'StrologyTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What is the horoscope for Gemini on August 10th?	['create_qr_code', 'deployscript', 'StrologyTool', 'Talkface_IELTS_Prep', 'AI2sql']	{'plan': 'StrologyTool', 'arguments': {'date': 'August 10th', 'sign': 'Gemini'}}	{'plan': 'StrologyTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What is the most popular content right now?	['Zapier', 'EmailByNylas', 'MediaTool', 'ABCmouse', 'PDF_Exporter']	{'plan': 'MediaTool', 'arguments': {}}	{'plan': 'MediaTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What legal issues do I need to consider when drafting a contract in California?	['AusPetrolPrices', 'Bohita', 'copywriter', 'Substack_IQ', 'LawTool']	{'plan': 'LawTool', 'arguments': {'region': 'California'}}	{'plan': 'LawTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you help me find a job in software development?	['ChartTool', 'stellarexplorer', 'JobTool', 'buildbetter', 'FinanceTool']	{'plan': 'JobTool', 'arguments': {'job_category': 'software development'}}	{'plan': 'JobTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm looking for part-time jobs in marketing. Can you assist me with that?	['JobTool', 'CompanyInfoTool', 'Bohita', 'GifApi', 'mini_habits']	{'plan': 'JobTool', 'arguments': {'field': 'marketing'}}	{'plan': 'JobTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What are the available job openings for nurses in my area?	['universal', 'copilot', 'JobTool', 'PodcastTool', 'MapTool']	{'plan': 'JobTool', 'arguments': {'job_type': 'nurse', 'location': 'my area'}}	{'plan': 'JobTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you find me a job as a graphic designer in New York City?	['JobTool', 'haulingbuddies', 'dover_outreach', 'FinanceTool', 'SceneXplain']	{'plan': 'JobTool', 'arguments': {'location': 'New York City', 'job_title': 'graphic designer'}}	{'plan': 'JobTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I need a job in the finance industry. Can you search for relevant positions?	['Planfit', 'Visla', 'JobTool', 'ProductSearch', 'clearbit_integration']	{'plan': 'JobTool', 'arguments': {'industry': 'finance'}}	{'plan': 'JobTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you find me some code examples for sorting algorithms in Python?	['internetSearch', 'ProductComparison', 'RepoTool', 'uberchord', 'ChatOCR']	{'plan': 'RepoTool', 'arguments': {}}	{'plan': 'RepoTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I need to find sample code for implementing authentication in a Django project, can you help?	['SSH', 'RepoTool', 'EarthquakeTool', 'shimmer_daily', 'HouseRentingTool']	{'plan': 'RepoTool', 'arguments': {}}	{'plan': 'RepoTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Show me some code snippets for CRUD operations in Node.js.	['AI2sql', 'RepoTool', 'CompanyInfoTool', 'CourseTool', 'CranePumpsManuals']	{'plan': 'RepoTool', 'arguments': {}}	{'plan': 'RepoTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I'm looking for code examples for handling file uploads in Java.	['MemeTool', 'Magnetis', 'abc_to_audio', 'PDF&URLTool', 'RepoTool']	{'plan': 'RepoTool', 'arguments': {'query': 'handling file uploads in Java'}}	{'plan': 'RepoTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you find me some code snippets for generating random numbers in C++?	['social_media_muse', 'MemoryTool', 'RepoTool', 'total_query_meta_search_engine', 'kraftful']	{'plan': 'RepoTool', 'arguments': {'query': 'random number generation C++'}}	{'plan': 'RepoTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you provide me with an AI generated ad?	['Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'MediaTool', 'ph_ai_news_query', 'LarkBaseImporter', 'RoboAd']	{'plan': 'RoboAd', 'arguments': {}}	{'plan': 'RoboAd', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I need help with some AI-based equity research	['ph_ai_news_query', 'AutoInfra1', 'internetSearch', 'ShoppingAssistant', 'AusSurfReport']	{'plan': 'ph_ai_news_query', 'arguments': {}}	{'plan': 'ph_ai_news_query', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I need help with a calculation	['MediaModifyTool', 'EmailByNylas', 'calculator', 'diceroller', 'noteable']	{'plan': 'calculator', 'arguments': {}}	{'plan': 'calculator', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
What were the results of the match between Liverpool and Arsenal on May 2, 2023?	['clinq', 'Agones', 'TicTacToe', 'hdbcarpark', 'Puzzle_Constructor']	{'plan': 'Agones', 'arguments': {'team1': 'Liverpool', 'team2': 'Arsenal', 'date': '2023-05-02'}}	{'plan': 'Agones', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What are the candidates stances on Brexit?	['TripTool', 'uk_politics', 'RepoTool', 'korea_subway', 'PDF&URLTool']	{'plan': 'uk_politics', 'arguments': {}}	{'plan': 'uk_politics', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you help me find a video on YouTube?	['ShoppingAssistant', 'uk_politics', 'video_highlight', 'Horoscopes_by_Inner_Self', 'Review']	{'plan': 'video_highlight', 'arguments': {}}	{'plan': 'video_highlight', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I need match data for the game between Liverpool and Arsenal on May 2, 2023.	['smarttsicketsai', 'buildbetter', 'Agones', 'form', 'ProductComparison']	{'plan': 'Agones', 'arguments': {'team1': 'Liverpool', 'team2': 'Arsenal', 'date': '2023-05-02'}}	{'plan': 'Agones', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What was the score of the game between Liverpool and Arsenal on May 2, 2023?	['IndoorPlants', 'Agones', 'exportchat', 'CompanyInfoTool', 'AppyPieAIAppBuilder']	{'plan': 'Agones', 'arguments': {'team1': 'Liverpool', 'team2': 'Arsenal', 'date': '2023-05-02'}}	{'plan': 'Agones', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What was the score of the last football match between Liverpool and Arsenal?	['ai_council', 'TicTacToe', 'Agones', 'RoboAd', 'abc_to_audio']	{'plan': 'Agones', 'arguments': {'team1': 'Liverpool', 'team2': 'Arsenal'}}	{'plan': 'Agones', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
What are the results of all the matches between Liverpool and Arsenal in the last 15 years?	['MediaTool', 'Agones', 'WordCloud', 'keywordexplorer', 'EarthquakeTool']	{'plan': 'Agones', 'arguments': {'team1': 'Liverpool', 'team2': 'Arsenal'}}	{'plan': 'Agones', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Are my credentials exposed in any data breaches?	['keyplays_football', 'timemachine', 'MusicTool', 'hacktrack', 'EarthquakeTool']	{'plan': 'hacktrack', 'arguments': {}}	{'plan': 'hacktrack', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any alerts regarding South Australian roads today?	['SASpeedCameras', 'webhooks', 'WebRewind', 'NASATool', 'Glowing']	{'plan': 'SASpeedCameras', 'arguments': {'location': 'South Australia'}}	{'plan': 'SASpeedCameras', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Are there any musicals currently playing in New York City?	['locator', 'universal', 'placid', 'Broadway', 'speak']	{'plan': 'Broadway', 'arguments': {}}	{'plan': 'Broadway', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any roadworks on South Australian roads today?	['MyWritingCompanion', 'SASpeedCameras', 'deployscript', 'create_qr_code', 'copilot']	{'plan': 'SASpeedCameras', 'arguments': {}}	{'plan': 'SASpeedCameras', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any special deals for Father's Day gifts?	['AI2sql', 'Discount', 'NewsTool', 'shimmer_daily', 'MediaModifyTool']	{'plan': 'shimmer_daily', 'arguments': {}}	{'plan': 'shimmer_daily', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any theme park waiting times around the world?	['speechki_tts_plugin', 'stellarexplorer', 'NotesTool', 'themeparkhipster', 'deployscript']	{'plan': 'themeparkhipster', 'arguments': {}}	{'plan': 'themeparkhipster', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there any theme park waiting times I should know about?	['assetOvi', 'ChartTool', 'themeparkhipster', 'blockatlas', 'create_qr_code']	{'plan': 'themeparkhipster', 'arguments': {}}	{'plan': 'themeparkhipster', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Are there exercise videos available?	['crafty_clues', 'Planfit', 'RestaurantBookingTool', 'tira', 'ResumeTool']	{'planfit': True}	{'plan': 'Planfit', 'arguments': {}}	fail	fail	fail	metatool_testset.tsv
Can Chatbot challenge me to a game of chess?	['fundsdbsearch', 'Chess', 'chat_with_workspace', 'GameTool', 'reflect_notes']	{'plan': 'Chess', 'arguments': {}}	{'plan': 'Chess', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can Chatbot connect with other apps?	['uk_politics', 'CompanyInfoTool', 'Zapier', 'Algorithma', 'CreditYelp']	{'plan': 'Zapier', 'arguments': {}}	{'plan': 'Zapier', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can Chatbot help me build an SQL query?	['WebRewind', 'mini_habits', 'KalendarAI', 'AI2sql', 'CharityTool']	{'plan': 'AI2sql', 'arguments': {}}	{'plan': 'AI2sql', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can Chatbot understand my emails?	['total_query_meta_search_engine', 'talkfpl', 'heygen', 'EmailByNylas', 'decision_journal']	{'plan': 'EmailByNylas', 'arguments': {}}	{'plan': 'EmailByNylas', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can Hadith provide me with religious guidance on how to live my life?	['hadith', 'ChartTool', 'uk_politics', 'CompanyInfoTool', 'Zapier']	{'plan': 'hadith', 'arguments': {}}	{'plan': 'hadith', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I add restrictions to the word guessing game?	['magi_codex', 'VideoSummarizeTool', 'Checkers', 'crafty_clues', 'ndricks_sports_api']	{'plan': 'crafty_clues', 'arguments': {}}	{'plan': 'crafty_clues', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I analyze recordings of my company's calls?	['Talkface_IELTS_Prep', 'kraftful', 'AbleStyle', 'buildbetter', 'find_agency']	{'plan': 'buildbetter', 'arguments': {}}	{'plan': 'buildbetter', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I automate my daily tasks with Chatbot?	['NewsTool', 'Visla', 'hdbcarpark', 'Zapier', 'PolishTool']	{'plan': 'Zapier', 'arguments': {}}	{'plan': 'Zapier', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I automate the process of running commands on my server?	['locator', 'NewsTool', 'rephrase', 'SSH', 'Checkers']	{'plan': 'SSH', 'arguments': {}}	{'plan': 'SSH', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I capture a summary of this conversation?	['NotesTool', 'CompanyInfoTool', 'CranePumpsManuals', 'reflect_notes', 'GifApi']	{'plan': 'reflect_notes', 'arguments': {}}	{'plan': 'reflect_notes', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I chat in my Notion workspace?	['diceroller', 'EarthquakeTool', 'chat_with_workspace', 'GifApi', 'Bohita']	{'plan': 'chat_with_workspace', 'arguments': {}}	{'plan': 'chat_with_workspace', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I check if there are any speed cameras or roadworks on my journey?	['hackit_web_scanner', 'speak', 'CranePumpsManuals', 'NewsTool', 'SASpeedCameras']	{'plan': 'SASpeedCameras', 'arguments': {}}	{'plan': 'SASpeedCameras', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I connect my email account to Chatbot?	['QuiverQuantitative', 'Now', 'StrologyTool', 'NotesTool', 'EmailByNylas']	{'plan': 'EmailByNylas', 'arguments': {}}	{'plan': 'EmailByNylas', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create a program using visuals instead of pseudocode?	['EarthquakeTool', 'ProductSearch', 'hdbcarpark', 'ShoppingAssistant', 'Creaticode_Extension_of_MIT_Scratch']	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create an app for both Android and iOS?	['AppyPieAIAppBuilder', 'assetOvi', 'haulingbuddies', 'recipe_retrieval', 'AusPetrolPrices']	{'plan': 'AppyPieAIAppGenerator', 'arguments': {}}	{'plan': 'AppyPieAIAppBuilder', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Can I create visuals from a template?	['placid', 'hdbcarpark', 'CranePumpsManuals', 'web_requests', 'EmailByNylas']	{'plan': 'placid', 'arguments': {}}	{'plan': 'placid', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I create workflows with Chatbot?	['ExchangeTool', 'webhooks', 'GiftTool', 'Zapier', 'CarYardBard']	{'plan': 'Zapier', 'arguments': {}}	{'plan': 'Zapier', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I customize an image using AI?	['Horoscopes_by_Inner_Self', 'Sudoku', 'sakenowa', 'ImageSearch', 'MemoryTool']	{'plan': 'ImageSearch', 'arguments': {}}	{'plan': 'ImageSearch', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I design my own apparel?	['fundsdbsearch', 'photorealistic', 'Bohita', 'copilot', 'what_to_watch']	{'plan': 'Bohita', 'arguments': {}}	{'plan': 'Bohita', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I extract text from an image?	['speechki_tts_plugin', 'ChatOCR', 'hadith', 'CompanyInfoTool', 'chat_with_workspace']	{'plan': 'ChatOCR', 'arguments': {}}	{'plan': 'ChatOCR', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find books, music, videos, software packages, and more in one search?	['ai_council', 'total_query_meta_search_engine', 'hadith', 'storybird_stories', 'speak']	{'plan': 'total_query_meta_search_engine', 'arguments': {}}	{'plan': 'total_query_meta_search_engine', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find the best apps for my device?	['ph_ai_news_query', 'ExchangeTool', 'Man_of_Many', 'abc_to_audio', 'total_query_meta_search_engine']	{'plan': 'Man_of_Many', 'arguments': {}}	{'plan': 'total_query_meta_search_engine', 'arguments': {}}	fail	pass	fail	metatool_testset.tsv
Can I generate a QR code in seconds?	['local', 'PodcastTool', 'abc_to_audio', 'Dr_Thoths_Tarot', 'qreator']	{'plan': 'qreator', 'arguments': {}}	{'plan': 'qreator', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
