conversation_history	query	rewrited_query	candidates	generation	gt	plan	arguments	all	file
[]	Would you mind capturing an image and depositing the file at content://downloads/images/pic.jpg?	Would you mind capturing an image and depositing the file at content://downloads/images/pic.jpg?	['ACTION_IMAGE_CAPTURE', 'get_contact_info_from_uri', 'ACTION_INSERT_CONTACT', 'ACTION_SHOW_ALARMS', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://downloads/images/pic.jpg'}}	pass	fail	fail	droidcall_tc.tsv
[]	Please snap a photo and save it to content://myfolder/photo1.jpg.	Please snap a photo and save it to content://myfolder/photo1.jpg.	['send_email', 'ACTION_IMAGE_CAPTURE', 'ACTION_PICK', 'open_settings', 'ACTION_VIDEO_CAPTURE']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://myfolder/photo1.jpg'}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://myfolder/photo1.jpg'}}	pass	pass	pass	droidcall_tc.tsv
[]	Please operate the camera function to take an image, storing it automatically without a user-specified path.	Please operate the camera function to take an image, storing it automatically without a user-specified path.	['ACTION_IMAGE_CAPTURE', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_SET_ALARM', 'ACTION_SET_TIMER', 'ACTION_PICK']	{'plan': 'INTENT_ACTION_VIDEO_CAMERA', 'arguments': {}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	fail	pass	fail	droidcall_tc.tsv
[]	I need a photograph; please use the system's default path to store the image.	I need a photograph; please use the system's default path to store the image.	['ACTION_VIDEO_CAPTURE', 'search_location', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_CONTACT', 'get_contact_info']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	Execute a camera picture capture and route the file to content://data/images/camshot.jpg.	Execute a camera picture capture and route the file to content://data/images/camshot.jpg.	['dial', 'ACTION_INSERT_CONTACT', 'ACTION_VIDEO_CAPTURE', 'search_location', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://data/images/camshot.jpg'}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://data/images/camshot.jpg'}}	pass	pass	pass	droidcall_tc.tsv
[]	Launch the camera and capture an image, saving it to content://storage/emulated/0/DCIM/Camera/newpic.jpg, please.	Launch the camera and capture an image, saving it to content://storage/emulated/0/DCIM/Camera/newpic.jpg, please.	['ACTION_VIEW_CONTACT', 'ACTION_SHOW_ALARMS', 'ACTION_IMAGE_CAPTURE', 'ACTION_GET_CONTENT', 'ACTION_GET_RINGTONE']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://storage/emulated/0/DCIM/Camera/newpic.jpg'}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {'file_uri': 'content://storage/emulated/0/DCIM/Camera/newpic.jpg'}}	pass	pass	pass	droidcall_tc.tsv
[]	I want you to take a photo with my camera, and you can let the OS decide where it goes.	I want you to take a photo with my camera, and you can let the OS decide where it goes.	['ACTION_VIDEO_CAPTURE', 'ACTION_INSERT_EVENT', 'ACTION_IMAGE_CAPTURE', 'search_location', 'ACTION_SHOW_ALARMS']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to click an image right now; let the system choose the saving location.	I need to click an image right now; let the system choose the saving location.	['ACTION_EDIT_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_CREATE_DOCUMENT', 'send_message', 'search_location']	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	{'plan': 'ACTION_IMAGE_CAPTURE', 'arguments': {}}	pass	pass	pass	droidcall_tc.tsv
[]	Insert a contact for Jackson with phone number 444-555-9999 and address '321 East Way'.	Insert a contact for Jackson with phone number 444-555-9999 and address '321 East Way'.	['INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_CONTACT', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_CONTACT', 'ACTION_SET_TIMER']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Jackson', 'phone': '444-555-9999', 'address': '321 East Way'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Jackson', 'phone': '444-555-9999', 'address': '321 East Way'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Insert a new entry for Olivia with her address noted as '56 Park Ave'.	Insert a new entry for Olivia with her address noted as '56 Park Ave'.	['ACTION_INSERT_CONTACT', 'web_search', 'ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'ACTION_VIDEO_CAPTURE']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Olivia', 'address': '56 Park Ave'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Olivia', 'address': '56 Park Ave'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Please create a contact record for Sebastian, his email is seb@workmail.com.	Please create a contact record for Sebastian, his email is seb@workmail.com.	['ACTION_VIDEO_CAPTURE', 'open_settings', 'ACTION_INSERT_EVENT', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Sebastian', 'email': 'seb@workmail.com'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Sebastian', 'email': 'seb@workmail.com'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Register a new contact for Lillian with email lilly@mail.com and phone number 222-111-3333.	Register a new contact for Lillian with email lilly@mail.com and phone number 222-111-3333.	['ACTION_INSERT_CONTACT', 'get_contact_info_from_uri', 'ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_EVENT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Lillian', 'email': 'lilly@mail.com', 'phone': '222-111-3333'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Lillian', 'email': 'lilly@mail.com', 'phone': '222-111-3333'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Set up a new contact for Benjamin. His phone is 333-444-5555 and he lives at 789 Central Blvd.	Set up a new contact for Benjamin. His phone is 333-444-5555 and he lives at 789 Central Blvd.	['ACTION_OPEN_DOCUMENT', 'ACTION_INSERT_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_VIEW_CONTACT', 'web_search']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Benjamin', 'phone': '333-444-5555', 'address': '789 Central Blvd'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Benjamin', 'phone': '333-444-5555', 'address': '789 Central Blvd'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Register contact for Scarlett. Her email is scarlett@red.com.	Register contact for Scarlett. Her email is scarlett@red.com.	['get_contact_info_from_uri', 'send_message', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_CONTACT', 'ACTION_OPEN_DOCUMENT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'email': 'scarlett@red.com'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Scarlett', 'email': 'scarlett@red.com'}}}	pass	fail	fail	droidcall_tc.tsv
[]	Insert a new contact for Gregory House with his email greg.house@hospital.org.	Insert a new contact for Gregory House with his email greg.house@hospital.org.	['ACTION_VIDEO_CAPTURE', 'web_search', 'ACTION_INSERT_CONTACT', 'dial', 'ACTION_SET_ALARM']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Gregory House', 'email': 'greg.house@hospital.org'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Gregory House', 'email': 'greg.house@hospital.org'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Please create a new contact entry for Victoria including her phone 101-202-3030 and email victoria_online@mail.com.	Please create a new contact entry for Victoria including her phone 101-202-3030 and email victoria_online@mail.com.	['send_message', 'ACTION_VIDEO_CAPTURE', 'web_search', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_CONTACT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Victoria', 'phone': '101-202-3030', 'email': 'victoria_online@mail.com'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Victoria', 'phone': '101-202-3030', 'email': 'victoria_online@mail.com'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Insert a contact with these details: Name: Bob K., Phone: 111-222-3333, Email: bob@examplemail.com.	Insert a contact with these details: Name: Bob K., Phone: 111-222-3333, Email: bob@examplemail.com.	['ACTION_INSERT_CONTACT', 'web_search', 'ACTION_EDIT_CONTACT', 'ACTION_SET_ALARM', 'ACTION_OPEN_DOCUMENT']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'Name': 'Bob K.', 'Phone': '111-222-3333', 'Email': 'bob@examplemail.com'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Bob K.', 'phone': '111-222-3333', 'email': 'bob@examplemail.com'}}}	pass	fail	fail	droidcall_tc.tsv
[]	Could you create a new contact entry for Michael? His number is 555-555-5555 and he lives at 123 Main St.	Could you create a new contact entry for Michael? His number is 555-555-5555 and he lives at 123 Main St.	['ACTION_INSERT_CONTACT', 'ACTION_OPEN_DOCUMENT', 'ACTION_VIDEO_CAPTURE', 'get_contact_info_from_uri', 'open_settings']	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Michael', 'phone': '555-555-5555', 'address': '123 Main St'}}}	{'plan': 'ACTION_INSERT_CONTACT', 'arguments': {'contact_info': {'name': 'Michael', 'phone': '555-555-5555', 'address': '123 Main St'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Set up a 'Gymnastics Practice' session labeled as evening practice. It takes place from 1704200000000 to 1704205400000.	Set up a 'Gymnastics Practice' session labeled as evening practice. It takes place from 1704200000000 to 1704205400000.	['ACTION_EDIT_CONTACT', 'ACTION_GET_RINGTONE', 'ACTION_INSERT_EVENT', 'get_contact_info_from_uri', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Gymnastics Practice', 'DESCRIPTION': 'Evening practice', 'BEGIN_TIME': 1704200000000, 'END_TIME': 1704205400000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Gymnastics Practice', 'DESCRIPTION': 'Evening practice session', 'BEGIN_TIME': 1704200000000, 'END_TIME': 1704205400000}}	pass	fail	fail	droidcall_tc.tsv
[]	Please insert the event 'Gardening Workshop', which is a hands-on session on sustainable gardening practices. It will take place at Community Garden, starting at 1701400000000 and ending at 1701405400000.	Please insert the event 'Gardening Workshop', which is a hands-on session on sustainable gardening practices. It will take place at Community Garden, starting at 1701400000000 and ending at 1701405400000.	['ACTION_INSERT_EVENT', 'get_contact_info', 'dial', 'ACTION_SET_ALARM', 'INTENT_ACTION_STILL_IMAGE_CAMERA']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Gardening Workshop', 'DESCRIPTION': 'Hands-on session on sustainable gardening practices', 'EVENT_LOCATION': 'Community Garden', 'BEGIN_TIME': 1701400000000, 'END_TIME': 1701405400000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Gardening Workshop', 'DESCRIPTION': 'Hands-on session on sustainable gardening practices', 'EVENT_LOCATION': 'Community Garden', 'BEGIN_TIME': 1701400000000, 'END_TIME': 1701405400000}}	pass	pass	pass	droidcall_tc.tsv
[]	Set up a 'Charity Run' event, a 5K run for charity at City Park. It starts at 1705100000000 and ends at 1705105400000.	Set up a 'Charity Run' event, a 5K run for charity at City Park. It starts at 1705100000000 and ends at 1705105400000.	['search_location', 'ACTION_EDIT_CONTACT', 'ACTION_INSERT_EVENT', 'ACTION_SET_TIMER', 'web_search']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Charity Run', 'DESCRIPTION': '5K run for charity', 'EVENT_LOCATION': 'City Park', 'BEGIN_TIME': 1705100000000, 'END_TIME': 1705105400000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Charity Run', 'DESCRIPTION': '5K run for charity', 'EVENT_LOCATION': 'City Park', 'BEGIN_TIME': 1705100000000, 'END_TIME': 1705105400000}}	pass	pass	pass	droidcall_tc.tsv
[]	I need to insert a 'Board Meeting' event with the purpose of discussing quarterly reports. It'll be held at the Conference Room B and run from 1701800000000 until 1701807200000.	I need to insert a 'Board Meeting' event with the purpose of discussing quarterly reports. It'll be held at the Conference Room B and run from 1701800000000 until 1701807200000.	['INTENT_ACTION_VIDEO_CAMERA', 'ACTION_INSERT_CONTACT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_EVENT', 'ACTION_OPEN_DOCUMENT']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Board Meeting', 'DESCRIPTION': 'Discussing Quarterly Reports', 'EVENT_LOCATION': 'Conference Room B', 'BEGIN_TIME': 1701800000000, 'END_TIME': 1701807200000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Board Meeting', 'DESCRIPTION': 'Discuss quarterly reports', 'EVENT_LOCATION': 'Conference Room B', 'BEGIN_TIME': 1701800000000, 'END_TIME': 1701807200000}}	pass	fail	fail	droidcall_tc.tsv
[]	I want to insert an event 'Book Club Meeting' where we'll discuss this month's selection at the local library. It should begin at 1700500000000 and end at 1700505400000.	I want to insert an event 'Book Club Meeting' where we'll discuss this month's selection at the local library. It should begin at 1700500000000 and end at 1700505400000.	['ACTION_EDIT_CONTACT', 'ACTION_OPEN_DOCUMENT', 'ACTION_INSERT_EVENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT']	"{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Book Club Meeting', 'DESCRIPTION': ""Discussion of this month's book selection"", 'BEGIN_TIME': 1700500000000, 'END_TIME': 1700505400000}}"	"{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Book Club Meeting', 'DESCRIPTION': ""Discussion on the month's book selection"", 'EVENT_LOCATION': 'local library', 'BEGIN_TIME': 1700500000000, 'END_TIME': 1700505400000}}"	pass	fail	fail	droidcall_tc.tsv
[]	I need to schedule a 'Customer Support Training' session at the Training Center. The event will run from 1705300000000 to 1705303600000.	I need to schedule a 'Customer Support Training' session at the Training Center. The event will run from 1705300000000 to 1705303600000.	['ACTION_GET_RINGTONE', 'ACTION_INSERT_CONTACT', 'ACTION_INSERT_EVENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_SHOW_ALARMS']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Customer Support Training', 'DESCRIPTION': '', 'EVENT_LOCATION': 'Training Center', 'BEGIN_TIME': 1705300000000, 'END_TIME': 1705303600000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Customer Support Training', 'DESCRIPTION': 'Training session for customer support staff', 'EVENT_LOCATION': 'Training Center', 'BEGIN_TIME': 1705300000000, 'END_TIME': 1705303600000}}	pass	fail	fail	droidcall_tc.tsv
[]	Please schedule an event named 'Gym Session' for a morning workout. It starts at 1700600000000 and finishes at 1700601800000.	Please schedule an event named 'Gym Session' for a morning workout. It starts at 1700600000000 and finishes at 1700601800000.	['ACTION_INSERT_CONTACT', 'ACTION_EDIT_CONTACT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_INSERT_EVENT']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Gym Session', 'DESCRIPTION': 'Morning Workout', 'BEGIN_TIME': 1700600000000, 'END_TIME': 1700601800000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Gym Session', 'DESCRIPTION': 'Morning workout', 'BEGIN_TIME': 1700600000000, 'END_TIME': 1700601800000}}	pass	fail	fail	droidcall_tc.tsv
[]	Create an event titled 'Afternoon Coffee Meetup'. No specified location but the meet starts at 1702400000000 and ends at 1702401800000.	Create an event titled 'Afternoon Coffee Meetup'. No specified location but the meet starts at 1702400000000 and ends at 1702401800000.	['ACTION_INSERT_EVENT', 'get_contact_info', 'web_search', 'ACTION_SET_TIMER', 'send_message']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Afternoon Coffee Meetup', 'BEGIN_TIME': 1702400000000, 'END_TIME': 1702401800000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Afternoon Coffee Meetup', 'DESCRIPTION': 'Casual meetup for coffee', 'BEGIN_TIME': 1702400000000, 'END_TIME': 1702401800000}}	pass	fail	fail	droidcall_tc.tsv
[]	Add an event for a 'Yoga Session' focused on relaxation and flexibility. It begins at 1701700000000 and ends at 1701701800000.	Add an event for a 'Yoga Session' focused on relaxation and flexibility. It begins at 1701700000000 and ends at 1701701800000.	['ACTION_INSERT_EVENT', 'ACTION_GET_RINGTONE', 'web_search', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'get_contact_info_from_uri']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Yoga Session', 'DESCRIPTION': 'Focus on relaxation and flexibility', 'BEGIN_TIME': 1701700000000, 'END_TIME': 1701701800000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Yoga Session', 'DESCRIPTION': 'Session focused on relaxation and flexibility', 'BEGIN_TIME': 1701700000000, 'END_TIME': 1701701800000}}	pass	fail	fail	droidcall_tc.tsv
[]	Add an event for 'Volunteer Work: Beach Clean-up' at Sunny Beach. The event lasts from 1702900000000 to 1702905400000.	Add an event for 'Volunteer Work: Beach Clean-up' at Sunny Beach. The event lasts from 1702900000000 to 1702905400000.	['ACTION_INSERT_EVENT', 'send_email', 'ACTION_SET_TIMER', 'ACTION_INSERT_CONTACT', 'ACTION_EDIT_CONTACT']	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Volunteer Work: Beach Clean-up', 'DESCRIPTION': '', 'EVENT_LOCATION': 'Sunny Beach', 'BEGIN_TIME': 1702900000000, 'END_TIME': 1702905400000}}	{'plan': 'ACTION_INSERT_EVENT', 'arguments': {'TITLE': 'Volunteer Work: Beach Clean-up', 'DESCRIPTION': 'Beach clean-up activity', 'EVENT_LOCATION': 'Sunny Beach', 'BEGIN_TIME': 1702900000000, 'END_TIME': 1702905400000}}	pass	fail	fail	droidcall_tc.tsv
[]	I need an alarm at 23:00 with the label 'Late Night' and a specific ringtone from 'http://alerttone.com/late.mp3'.	I need an alarm at 23:00 with the label 'Late Night' and a specific ringtone from 'http://alerttone.com/late.mp3'.	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'ACTION_INSERT_CONTACT', 'ACTION_SET_ALARM', 'get_contact_info_from_uri']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 23, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'Late Night', 'EXTRA_RINGTONE': 'http://alerttone.com/late.mp3'}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 23, 'EXTRA_MINUTES': 0, 'EXTRA_MESSAGE': 'Late Night', 'EXTRA_RINGTONE': 'http://alerttone.com/late.mp3'}}	pass	pass	pass	droidcall_tc.tsv
[]	Please create an alarm at 13:05 with the note 'Lunch Over' and make sure it skips UI confirmation.	Please create an alarm at 13:05 with the note 'Lunch Over' and make sure it skips UI confirmation.	['ACTION_SET_ALARM', 'ACTION_SHOW_ALARMS', 'ACTION_IMAGE_CAPTURE', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 13, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Lunch Over', 'EXTRA_SKIP_UI': True}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 13, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Lunch Over', 'EXTRA_SKIP_UI': True}}	pass	pass	pass	droidcall_tc.tsv
[]	Remind me with an alarm at 20:05 that carries the message 'Evening walk'.	Remind me with an alarm at 20:05 that carries the message 'Evening walk'.	['dial', 'send_message', 'ACTION_SET_ALARM', 'ACTION_VIEW_CONTACT', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 20, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Evening walk'}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 20, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Evening walk'}}	pass	pass	pass	droidcall_tc.tsv
[]	Set an alarm for 18:20 with the message 'Dinner time' and ensure the clock UI doesn't pop up.	Set an alarm for 18:20 with the message 'Dinner time' and ensure the clock UI doesn't pop up.	['ACTION_SET_ALARM', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_EVENT', 'INTENT_ACTION_VIDEO_CAMERA', 'INTENT_ACTION_STILL_IMAGE_CAMERA']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 18, 'EXTRA_MINUTES': 20, 'EXTRA_MESSAGE': 'Dinner time', 'EXTRA_SKIP_UI': True}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 18, 'EXTRA_MINUTES': 20, 'EXTRA_MESSAGE': 'Dinner time', 'EXTRA_SKIP_UI': True}}	pass	pass	pass	droidcall_tc.tsv
[]	I want a 21:15 alarm that plays the ringtone 'http://tone.com/soft.mp3', carries the label 'Relax', and vibrates.	I want a 21:15 alarm that plays the ringtone 'http://tone.com/soft.mp3', carries the label 'Relax', and vibrates.	['dial', 'ACTION_SHOW_ALARMS', 'ACTION_INSERT_EVENT', 'ACTION_IMAGE_CAPTURE', 'ACTION_SET_ALARM']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 21, 'EXTRA_MINUTES': 15, 'EXTRA_RINGTONE': 'http://tone.com/soft.mp3', 'EXTRA_MESSAGE': 'Relax', 'EXTRA_VIBRATE': True}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 21, 'EXTRA_MINUTES': 15, 'EXTRA_MESSAGE': 'Relax', 'EXTRA_RINGTONE': 'http://tone.com/soft.mp3'}}	pass	fail	fail	droidcall_tc.tsv
[]	Make an alarm for 18:30 labeled 'Dinner time' and use the ringtone 'ringtone://dinner'.	Make an alarm for 18:30 labeled 'Dinner time' and use the ringtone 'ringtone://dinner'.	['ACTION_SHOW_ALARMS', 'ACTION_EDIT_CONTACT', 'ACTION_SET_ALARM', 'send_email', 'search_location']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 18, 'EXTRA_MINUTES': 30, 'EXTRA_MESSAGE': 'Dinner time', 'EXTRA_RINGTONE': 'ringtone://dinner'}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 18, 'EXTRA_MINUTES': 30, 'EXTRA_MESSAGE': 'Dinner time', 'EXTRA_RINGTONE': 'ringtone://dinner'}}	pass	pass	pass	droidcall_tc.tsv
[]	Arrange an alarm for 19:25 that repeats on Wednesday, Thursday, and Sunday, and tag it 'Study Time'.	Arrange an alarm for 19:25 that repeats on Wednesday, Thursday, and Sunday, and tag it 'Study Time'.	['ACTION_INSERT_CONTACT', 'search_location', 'ACTION_SET_ALARM', 'ACTION_OPEN_DOCUMENT', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 19, 'EXTRA_MINUTES': 25, 'EXTRA_MESSAGE': 'Study Time', 'EXTRA_DAYS': ['Wednesday', 'Thursday', 'Sunday']}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 19, 'EXTRA_MINUTES': 25, 'EXTRA_MESSAGE': 'Study Time', 'EXTRA_DAYS': ['Wednesday', 'Thursday', 'Sunday']}}	pass	pass	pass	droidcall_tc.tsv
[]	Set my alarm to go off at 12:05 with the label 'Lunch Reminder'.	Set my alarm to go off at 12:05 with the label 'Lunch Reminder'.	['dial', 'get_contact_info', 'send_message', 'search_location', 'ACTION_SET_ALARM']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 12, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Lunch Reminder'}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 12, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Lunch Reminder'}}	pass	pass	pass	droidcall_tc.tsv
[]	Could you set up an alarm for 23:45?	Could you set up an alarm for 23:45?	['ACTION_SET_ALARM', 'ACTION_PICK', 'web_search', 'search_location', 'INTENT_ACTION_VIDEO_CAMERA']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 23, 'EXTRA_MINUTES': 45}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 23, 'EXTRA_MINUTES': 45}}	pass	pass	pass	droidcall_tc.tsv
[]	I want an alarm at 9:45 AM to remind me to 'Check Email', and please skip the app interface confirmation.	I want an alarm at 9:45 AM to remind me to 'Check Email', and please skip the app interface confirmation.	['ACTION_SET_ALARM', 'get_contact_info_from_uri', 'web_search', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_VIEW_CONTACT']	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 9, 'EXTRA_MINUTES': 45, 'EXTRA_MESSAGE': 'Check Email', 'EXTRA_SKIP_UI': True}}	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 9, 'EXTRA_MINUTES': 45, 'EXTRA_MESSAGE': 'Check Email', 'EXTRA_SKIP_UI': True}}	pass	pass	pass	droidcall_tc.tsv
[]	Could you run a quick 20 seconds timer for me?	Could you run a quick 20 seconds timer for me?	['ACTION_GET_RINGTONE', 'ACTION_CREATE_DOCUMENT', 'ACTION_SET_ALARM', 'ACTION_SET_TIMER', 'ACTION_OPEN_DOCUMENT']	{'plan': 'ACTION_SET_TIMER', 'arguments': {'duration': '20 seconds'}}	{'plan': 'ACTION_SET_TIMER', 'arguments': {'duration': '20 seconds'}}	pass	pass	pass	droidcall_tc.tsv
