Query	answer	candidates
Can you help me manipulate this image?	{'plan': 'MediaModifyTool', 'arguments': {}}	['MediaModifyTool', 'airqualityforeast', 'deployscript', 'recipe_retrieval', 'buildbetter']
Can you help me optimize my resume?	{'plan': 'ResumeTool', 'arguments': {}}	['ResumeTool', 'QuiverQuantitative', 'PDF_Exporter', 'CarYardBard', 'Discount']
Can you help me plan my journey from my current location to my destination?	{'plan': 'MapTool', 'arguments': {}}	['timemachine', 'JobTool', 'haulingbuddies', 'MapTool', 'MyWritingCompanion']
Can you help me process this image?	{'plan': 'MediaModifyTool', 'arguments': {}}	['blockatlas', 'MediaModifyTool', 'dover_outreach', 'StrologyTool', 'AppyPieAIAppBuilder']
Can you help me save tasks?	{'plan': 'NotesTool', 'arguments': {}}	['ResumeTool', 'NotesTool', 'TripAdviceTool', 'MemoryTool', 'ndricks_sports_api']
Can you help me search for a game on multiple platforms?	{'plan': 'GameTool', 'arguments': {}}	['chat_with_workspace', 'HousePurchasingTool', 'SceneXplain', 'PodcastTool', 'GameTool']
Can you help me tailor my resume for ATS?	{'plan': 'ResumeTool', 'arguments': {}}	['MyWritingCompanion', 'ResumeTool', 'dart', 'chat_with_workspace', 'chatspot']
Can you help me track my meals?	{'plan': 'DietTool', 'arguments': {}}	['fundsdbsearch', 'internetSearch', 'DietTool', 'RestaurantBookingTool', 'recipe_retrieval']
Can you help me visualize my data?	{'plan': 'ChartTool', 'arguments': {}}	['copywriter', 'search', 'ChartTool', 'AusSurfReport', 'CranePumpsManuals']
Can you help me with spaced repetition?	{'plan': 'MemoryTool', 'arguments': {}}	['ResumeTool', 'MemoryTool', 'portfoliopilot', 'CranePumpsManuals', 'ProductComparison']
Can you make a map for me with this location?	{'plan': 'MapTool', 'arguments': {}}	['seoanalysis', 'AutoInfra1', 'photorealistic', 'LarkBaseImporter', 'MapTool']
Can you make the AI response more intelligent?	{'plan': 'PolishTool', 'arguments': {}}	['MusicTool', 'haulingbuddies', 'IndoorPlants', 'CreditYelp', 'PolishTool']
Can you make the AI response more natural?	{'plan': 'PolishTool', 'arguments': {}}	['shimmer_daily', 'webhooks', 'PolishTool', 'photorealistic', 'WebRewind']
Can you make the conversation more life-like?	{'plan': 'PolishTool', 'arguments': {}}	['smarttsicketsai', 'PolishTool', 'photorealistic', 'Figlet', 'Puzzle_Constructor']
Can you provide a 5-day forecast for San Francisco?	{'plan': 'WeatherTool', 'arguments': {}}	['seoanalysis', 'WeatherTool', 'PodcastTool', 'calculator', 'CompanyInfoTool']
Can you provide an accurate weather forecast?	{'plan': 'WeatherTool', 'arguments': {}}	['hacktrack', 'WeatherTool', 'mbti', 'NewsTool', 'hadith']
Can you provide comprehensive guidance on optimizing my resume?	{'plan': 'ResumeTool', 'arguments': {}}	['exportchat', 'Magnetis', 'ResumeTool', 'WeatherTool', 'Zapier']
Can you provide me with any sources that support this answer?	{'plan': 'DataRetrievalTool', 'arguments': {}}	['JobTool', 'MemeTool', 'DataRetrievalTool', 'buildbetter', 'decision_journal']
Can you provide me with data about this company?	{'plan': 'CompanyInfoTool', 'arguments': {}}	['CompanyInfoTool', 'HouseRentingTool', 'AI2sql', 'keyplays_football', 'rephrase']
Can you provide me with data on US-based non-profits?	{'plan': 'CharityTool', 'arguments': {}}	['CharityTool', 'find_agency', 'storybird_stories', 'GameTool', 'clinical_trial_radar']
Can you provide me with governance information on a US-based non-profit?	{'plan': 'CharityTool', 'arguments': {}}	['speechki_tts_plugin', 'copilot', 'MemeTool', 'Now', 'CharityTool']
Can you provide me with information about the directors of a UK company?	{'plan': 'CompanyInfoTool', 'arguments': {}}	['dev', 'website_performance_insights', 'CompanyInfoTool', 'keywordexplorer', 'CranePumpsManuals']
Can you provide me with personalized assistance based on my data?	{'plan': 'DataRetrievalTool', 'arguments': {}}	['social_media_muse', 'Figlet', 'word_counter', 'DataRetrievalTool', 'WebsiteTool']
Can you recommend any books for young readers?	{'plan': 'BookTool', 'arguments': {}}	['keyplays_football', 'BookTool', 'PDF&URLTool', 'WeatherTool', 'sakenowa']
Can you recommend me a good book?	{'plan': 'BookTool', 'arguments': {}}	['Magnetis', 'blockatlas', 'Substack_IQ', 'BookTool', 'qreator']
Can you recommend some games for me?	{'plan': 'GameTool', 'arguments': {}}	['AusPetrolPrices', 'IndoorPlants', 'GameTool', 'Checkers', 'ApexMap']
Can you refine the AI response to make it more accurate?	{'plan': 'PolishTool', 'arguments': {}}	['PolishTool', 'seoanalysis', 'TicTacToe', 'Tax_Calculator', 'word_counter']
Can you remember my information so I don't have to keep repeating myself?	{'plan': 'DataRetrievalTool', 'arguments': {}}	['DataRetrievalTool', 'SSH', 'Horoscopes_by_Inner_Self', 'clearbit_integration', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click']
Can you search for a company by its name or Companies House Number?	{'plan': 'CompanyInfoTool', 'arguments': {}}	['BookTool', 'MediaTool', 'CompanyInfoTool', 'PodcastTool', 'wpinteract']
Can you show me any free ad-supported TV shows?	{'plan': 'MediaTool', 'arguments': {}}	['MediaTool', 'exportchat', 'fundsdbsearch', 'LarkBaseImporter', 'rephrase']
Can you show me some images from NASA?	{'plan': 'NASATool', 'arguments': {}}	['FinanceTool', 'metaphor_search_api', 'Talkface_IELTS_Prep', 'NASATool', 'ChatOCR']
Can you suggest captions for my meme?	{'plan': 'MemeTool', 'arguments': {}}	['MemeTool', 'website_performance_insights', 'Planfit', 'web_requests', 'ExchangeTool']
Can you suggest improvements to my resume without me having to ask?	{'plan': 'ResumeTool', 'arguments': {}}	['ResumeTool', 'GameTool', 'ImageSearch', 'assetOvi', 'Man_of_Many']
Can you suggest me a gift for my parents?	{'plan': 'GiftTool', 'arguments': {}}	['GiftTool', 'Algorithma', 'Creaticode_Extension_of_MIT_Scratch', 'website_performance_insights', 'sakenowa']
Can you suggest some gifts for an anniversary?	{'plan': 'GiftTool', 'arguments': {}}	['GiftTool', 'ResearchFinder', 'TicTacToe', 'RoboAd', 'Glowing']
Can you suggest some nonprofits I can support?	{'plan': 'CharityTool', 'arguments': {}}	['clinical_trial_radar', 'ProductSearch', 'BookTool', 'AusSurfReport', 'CharityTool']
Can you suggest some podcast episodes related to this topic?	{'plan': 'PodcastTool', 'arguments': {}}	['Sudoku', 'seoanalysis', 'photorealistic', 'PodcastTool', 'DataRetrievalTool']
Can you summarize this podcast for me?	{'plan': 'PodcastTool', 'arguments': {}}	['ExchangeTool', 'airqualityforeast', 'DataRetrievalTool', 'FinanceTool', 'PodcastTool']
Can you tell me about recent earthquakes in the Philippines?	{'plan': 'EarthquakeTool', 'arguments': {}}	['AppyPieAIAppBuilder', 'timeport', 'WebRewind', 'EarthquakeTool', 'WordCloud']
Can you tell me about seismic monitoring in the Philippines?	{'plan': 'EarthquakeTool', 'arguments': {}}	['EarthquakeTool', 'airqualityforeast', 'shimmer_daily', 'GameTool', 'copilot']
Can you tell me my daily astrological predictions?	{'plan': 'StrologyTool', 'arguments': {}}	['StrologyTool', 'Now', 'find_agency', 'deployscript', 'brandfetch']
Can you tell me the horoscope for all the zodiac signs on May 5th?	{'plan': 'StrologyTool', 'arguments': {}}	['StrologyTool', 'hacktrack', 'metaphor_search_api', 'URLTool', 'ResearchFinder']
Can you use AI to create a funny meme?	{'plan': 'MemeTool', 'arguments': {}}	['timemachine', 'CompanyInfoTool', 'total_query_meta_search_engine', 'MemeTool', 'ResearchFinder']
Could you please provide a prediction for what the EUR/USD rate will be in the next few days?	{'plan': 'ExchangeTool', 'arguments': {}}	['Chess', 'ABCmouse', 'Substack_IQ', 'TalentOrg', 'ExchangeTool']
Do you have a memory app I can use?	{'plan': 'MemoryTool', 'arguments': {}}	['MemoryTool', 'universal', 'Review', 'clinical_trial_radar', 'HouseRentingTool']
Do you have any gift recommendation for a wedding?	{'plan': 'GiftTool', 'arguments': {}}	['GiftTool', 'CTCP', 'assetOvi', 'competitorppcads', 'locator']
Do you have something that will help me keep track of reminders?	{'plan': 'NotesTool', 'arguments': {}}	['NotesTool', 'timemachine', 'local', 'LawTool', 'recipe_retrieval']
Do you have something that will help me remember tasks?	{'plan': 'NotesTool', 'arguments': {}}	['NotesTool', 'universal', 'hadith', 'WebsiteTool', 'rephrase']
Do you know any strategy guides for a specific game?	{'plan': 'GameTool', 'arguments': {}}	['GameTool', 'tailor_erp', 'themeparkhipster', 'socialsearch', 'TicTacToe']
How can I create flashcards?	{'plan': 'MemoryTool', 'arguments': {}}	['Glowing', 'MemoryTool', 'blockatlas', 'CribbageScorer', 'Agones']
How can I deploy a website using Netlify?	{'plan': 'WebsiteTool', 'arguments': {}}	['JobTool', 'WeatherTool', 'uk_politics', 'SSH', 'WebsiteTool']
How can I explore space using NASA's media library?	{'plan': 'NASATool', 'arguments': {}}	['RepoTool', 'C3_Glide', 'hackit_web_scanner', 'NASATool', 'portfoliopilot']
How can I find something to watch with your discovery tool?	{'plan': 'MediaTool', 'arguments': {}}	['MediaTool', 'NotesTool', 'Horoscopes_by_Inner_Self', 'CarYardBard', 'hackit_web_scanner']
How can I find the daily picture from NASA's APOD?	{'plan': 'NASATool', 'arguments': {}}	['clinq', 'URLTool', 'Now', 'placid', 'NASATool']
How can I search and discover NASA images?	{'plan': 'NASATool', 'arguments': {}}	['ProductComparison', 'photorealistic', 'NASATool', 'speechki_tts_plugin', 'URLTool']
How can I search for specific images and videos from NASA's library?	{'plan': 'NASATool', 'arguments': {}}	['MixerBox_WebSearchG_web_search', 'NASATool', 'Magnetis', 'speak', 'ai_council']
How do I compare reviews for different games?	{'plan': 'GameTool', 'arguments': {}}	['lsongai', 'dover_outreach', 'GameTool', 'keyplays_football', 'stellarexplorer']
How do I convert 100 US dollars to Euros?	{'plan': 'ExchangeTool', 'arguments': {}}	['MediaTool', 'ExchangeTool', 'MixerBox_WebSearchG_web_search', 'Sudoku', 'mini_habits']
How do I convert US dollars to Euros?	{'plan': 'ExchangeTool', 'arguments': {}}	['CarYardBard', 'magi_codex', 'ExchangeTool', 'dev', 'find_agency']
How has the exchange rate of the US dollar changed over the past month?	{'plan': 'ExchangeTool', 'arguments': {}}	['deployscript', 'web_scraper', 'TicTacToe', 'AutoInfra1', 'ExchangeTool']
I'm looking for information on non-profits in the United States.	{'plan': 'CharityTool', 'arguments': {}}	['CharityTool', 'PDF&URLTool', 'exportchat', 'DietTool', 'ArtCollection']
What are the best movies to watch right now?	{'plan': 'MediaTool', 'arguments': {}}	['tailor_erp', 'timeport', 'MediaTool', 'chatspot', 'EarthquakeTool']
What are the laws on eviction in California?	{'plan': 'LawTool', 'arguments': {}}	['VideoSummarizeTool', 'Magnetis', 'LawTool', 'MediaTool', 'competitorppcads']
What are the laws regarding criminal proceedings in California?	{'plan': 'LawTool', 'arguments': {}}	['clinical_trial_radar', 'LarkBaseImporter', 'search', 'NewsTool', 'LawTool']
What are the rights of tenants in California?	{'plan': 'LawTool', 'arguments': {}}	['CribbageScorer', 'HouseRentingTool', 'PDF_Exporter', 'LawTool', 'champdex']
What are the taxes I need to pay in California?	{'plan': 'LawTool', 'arguments': {}}	['Planfit', 'NotesTool', 'LawTool', 'ChartTool', 'Agones']
What does my horoscope have in store for me today?	{'plan': 'StrologyTool', 'arguments': {}}	['StrologyTool', 'AusPetrolPrices', 'timeport', 'recipe_retrieval', 'TicTacToe']
What does my sun sign say about me today?	{'plan': 'StrologyTool', 'arguments': {}}	['C3_Glide', 'StrologyTool', 'RoboAd', 'word_sneak', 'Algorithma']
What is the horoscope for Gemini on August 10th?	{'plan': 'StrologyTool', 'arguments': {}}	['create_qr_code', 'deployscript', 'StrologyTool', 'Talkface_IELTS_Prep', 'AI2sql']
What is the most popular content right now?	{'plan': 'MediaTool', 'arguments': {}}	['Zapier', 'EmailByNylas', 'MediaTool', 'ABCmouse', 'PDF_Exporter']
What legal issues do I need to consider when drafting a contract in California?	{'plan': 'LawTool', 'arguments': {}}	['AusPetrolPrices', 'Bohita', 'copywriter', 'Substack_IQ', 'LawTool']
Can you help me find a job in software development?	{'plan': 'JobTool', 'arguments': {}}	['ChartTool', 'stellarexplorer', 'JobTool', 'buildbetter', 'FinanceTool']
I'm looking for part-time jobs in marketing. Can you assist me with that?	{'plan': 'JobTool', 'arguments': {}}	['JobTool', 'CompanyInfoTool', 'Bohita', 'GifApi', 'mini_habits']
What are the available job openings for nurses in my area?	{'plan': 'JobTool', 'arguments': {}}	['universal', 'copilot', 'JobTool', 'PodcastTool', 'MapTool']
Can you find me a job as a graphic designer in New York City?	{'plan': 'JobTool', 'arguments': {}}	['JobTool', 'haulingbuddies', 'dover_outreach', 'FinanceTool', 'SceneXplain']
I need a job in the finance industry. Can you search for relevant positions?	{'plan': 'JobTool', 'arguments': {}}	['Planfit', 'Visla', 'JobTool', 'ProductSearch', 'clearbit_integration']
Can you find me some code examples for sorting algorithms in Python?	{'plan': 'RepoTool', 'arguments': {}}	['internetSearch', 'ProductComparison', 'RepoTool', 'uberchord', 'ChatOCR']
I need to find sample code for implementing authentication in a Django project, can you help?	{'plan': 'RepoTool', 'arguments': {}}	['SSH', 'RepoTool', 'EarthquakeTool', 'shimmer_daily', 'HouseRentingTool']
Show me some code snippets for CRUD operations in Node.js.	{'plan': 'RepoTool', 'arguments': {}}	['AI2sql', 'RepoTool', 'CompanyInfoTool', 'CourseTool', 'CranePumpsManuals']
I'm looking for code examples for handling file uploads in Java.	{'plan': 'RepoTool', 'arguments': {}}	['MemeTool', 'Magnetis', 'abc_to_audio', 'PDF&URLTool', 'RepoTool']
Can you find me some code snippets for generating random numbers in C++?	{'plan': 'RepoTool', 'arguments': {}}	['social_media_muse', 'MemoryTool', 'RepoTool', 'total_query_meta_search_engine', 'kraftful']
Can you provide me with an AI generated ad?	{'plan': 'RoboAd', 'arguments': {}}	['Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'MediaTool', 'ph_ai_news_query', 'LarkBaseImporter', 'RoboAd']
I need help with some AI-based equity research	{'plan': 'ph_ai_news_query', 'arguments': {}}	['ph_ai_news_query', 'AutoInfra1', 'internetSearch', 'ShoppingAssistant', 'AusSurfReport']
I need help with a calculation	{'plan': 'calculator', 'arguments': {}}	['MediaModifyTool', 'EmailByNylas', 'calculator', 'diceroller', 'noteable']
What were the results of the match between Liverpool and Arsenal on May 2, 2023?	{'plan': 'Agones', 'arguments': {}}	['clinq', 'Agones', 'TicTacToe', 'hdbcarpark', 'Puzzle_Constructor']
What are the candidates stances on Brexit?	{'plan': 'uk_politics', 'arguments': {}}	['TripTool', 'uk_politics', 'RepoTool', 'korea_subway', 'PDF&URLTool']
Can you help me find a video on YouTube?	{'plan': 'video_highlight', 'arguments': {}}	['ShoppingAssistant', 'uk_politics', 'video_highlight', 'Horoscopes_by_Inner_Self', 'Review']
I need match data for the game between Liverpool and Arsenal on May 2, 2023.	{'plan': 'Agones', 'arguments': {}}	['smarttsicketsai', 'buildbetter', 'Agones', 'form', 'ProductComparison']
What was the score of the game between Liverpool and Arsenal on May 2, 2023?	{'plan': 'Agones', 'arguments': {}}	['IndoorPlants', 'Agones', 'exportchat', 'CompanyInfoTool', 'AppyPieAIAppBuilder']
What was the score of the last football match between Liverpool and Arsenal?	{'plan': 'Agones', 'arguments': {}}	['ai_council', 'TicTacToe', 'Agones', 'RoboAd', 'abc_to_audio']
What are the results of all the matches between Liverpool and Arsenal in the last 15 years?	{'plan': 'Agones', 'arguments': {}}	['MediaTool', 'Agones', 'WordCloud', 'keywordexplorer', 'EarthquakeTool']
Are my credentials exposed in any data breaches?	{'plan': 'hacktrack', 'arguments': {}}	['keyplays_football', 'timemachine', 'MusicTool', 'hacktrack', 'EarthquakeTool']
Are there any alerts regarding South Australian roads today?	{'plan': 'SASpeedCameras', 'arguments': {}}	['SASpeedCameras', 'webhooks', 'WebRewind', 'NASATool', 'Glowing']
Are there any musicals currently playing in New York City?	{'plan': 'Broadway', 'arguments': {}}	['locator', 'universal', 'placid', 'Broadway', 'speak']
Are there any roadworks on South Australian roads today?	{'plan': 'SASpeedCameras', 'arguments': {}}	['MyWritingCompanion', 'SASpeedCameras', 'deployscript', 'create_qr_code', 'copilot']
Are there any special deals for Father's Day gifts?	{'plan': 'shimmer_daily', 'arguments': {}}	['AI2sql', 'Discount', 'NewsTool', 'shimmer_daily', 'MediaModifyTool']
Are there any theme park waiting times around the world?	{'plan': 'themeparkhipster', 'arguments': {}}	['speechki_tts_plugin', 'stellarexplorer', 'NotesTool', 'themeparkhipster', 'deployscript']
Are there any theme park waiting times I should know about?	{'plan': 'themeparkhipster', 'arguments': {}}	['assetOvi', 'ChartTool', 'themeparkhipster', 'blockatlas', 'create_qr_code']
Are there exercise videos available?	{'plan': 'Planfit', 'arguments': {}}	['crafty_clues', 'Planfit', 'RestaurantBookingTool', 'tira', 'ResumeTool']
Can Chatbot challenge me to a game of chess?	{'plan': 'Chess', 'arguments': {}}	['fundsdbsearch', 'Chess', 'chat_with_workspace', 'GameTool', 'reflect_notes']
Can Chatbot connect with other apps?	{'plan': 'Zapier', 'arguments': {}}	['uk_politics', 'CompanyInfoTool', 'Zapier', 'Algorithma', 'CreditYelp']
Can Chatbot help me build an SQL query?	{'plan': 'AI2sql', 'arguments': {}}	['WebRewind', 'mini_habits', 'KalendarAI', 'AI2sql', 'CharityTool']
Can Chatbot understand my emails?	{'plan': 'EmailByNylas', 'arguments': {}}	['total_query_meta_search_engine', 'talkfpl', 'heygen', 'EmailByNylas', 'decision_journal']
Can Hadith provide me with religious guidance on how to live my life?	{'plan': 'hadith', 'arguments': {}}	['hadith', 'ChartTool', 'uk_politics', 'CompanyInfoTool', 'Zapier']
Can I add restrictions to the word guessing game?	{'plan': 'crafty_clues', 'arguments': {}}	['magi_codex', 'VideoSummarizeTool', 'Checkers', 'crafty_clues', 'ndricks_sports_api']
Can I analyze recordings of my company's calls?	{'plan': 'buildbetter', 'arguments': {}}	['Talkface_IELTS_Prep', 'kraftful', 'AbleStyle', 'buildbetter', 'find_agency']
Can I automate my daily tasks with Chatbot?	{'plan': 'Zapier', 'arguments': {}}	['NewsTool', 'Visla', 'hdbcarpark', 'Zapier', 'PolishTool']
Can I automate the process of running commands on my server?	{'plan': 'SSH', 'arguments': {}}	['locator', 'NewsTool', 'rephrase', 'SSH', 'Checkers']
Can I capture a summary of this conversation?	{'plan': 'reflect_notes', 'arguments': {}}	['NotesTool', 'CompanyInfoTool', 'CranePumpsManuals', 'reflect_notes', 'GifApi']
Can I chat in my Notion workspace?	{'plan': 'chat_with_workspace', 'arguments': {}}	['diceroller', 'EarthquakeTool', 'chat_with_workspace', 'GifApi', 'Bohita']
Can I check if there are any speed cameras or roadworks on my journey?	{'plan': 'SASpeedCameras', 'arguments': {}}	['hackit_web_scanner', 'speak', 'CranePumpsManuals', 'NewsTool', 'SASpeedCameras']
Can I connect my email account to Chatbot?	{'plan': 'EmailByNylas', 'arguments': {}}	['QuiverQuantitative', 'Now', 'StrologyTool', 'NotesTool', 'EmailByNylas']
Can I create a program using visuals instead of pseudocode?	{'plan': 'Creaticode_Extension_of_MIT_Scratch', 'arguments': {}}	['EarthquakeTool', 'ProductSearch', 'hdbcarpark', 'ShoppingAssistant', 'Creaticode_Extension_of_MIT_Scratch']
Can I create an app for both Android and iOS?	{'plan': 'AppyPieAIAppBuilder', 'arguments': {}}	['AppyPieAIAppBuilder', 'assetOvi', 'haulingbuddies', 'recipe_retrieval', 'AusPetrolPrices']
Can I create visuals from a template?	{'plan': 'placid', 'arguments': {}}	['placid', 'hdbcarpark', 'CranePumpsManuals', 'web_requests', 'EmailByNylas']
Can I create workflows with Chatbot?	{'plan': 'Zapier', 'arguments': {}}	['ExchangeTool', 'webhooks', 'GiftTool', 'Zapier', 'CarYardBard']
Can I customize an image using AI?	{'plan': 'ImageSearch', 'arguments': {}}	['Horoscopes_by_Inner_Self', 'Sudoku', 'sakenowa', 'ImageSearch', 'MemoryTool']
Can I design my own apparel?	{'plan': 'Bohita', 'arguments': {}}	['fundsdbsearch', 'photorealistic', 'Bohita', 'copilot', 'what_to_watch']
Can I extract text from an image?	{'plan': 'ChatOCR', 'arguments': {}}	['speechki_tts_plugin', 'ChatOCR', 'hadith', 'CompanyInfoTool', 'chat_with_workspace']
Can I find books, music, videos, software packages, and more in one search?	{'plan': 'total_query_meta_search_engine', 'arguments': {}}	['ai_council', 'total_query_meta_search_engine', 'hadith', 'storybird_stories', 'speak']
Can I find the best apps for my device?	{'plan': 'total_query_meta_search_engine', 'arguments': {}}	['ph_ai_news_query', 'ExchangeTool', 'Man_of_Many', 'abc_to_audio', 'total_query_meta_search_engine']
Can I generate a QR code in seconds?	{'plan': 'qreator', 'arguments': {}}	['local', 'PodcastTool', 'abc_to_audio', 'Dr_Thoths_Tarot', 'qreator']
Can I generate an AI video with Chatbot?	{'plan': 'heygen', 'arguments': {}}	['CourseTool', 'chatspot', 'clinq', 'heygen', 'ImageSearch']
Can I get a catalog for a pump with model number XYZ?	{'plan': 'CranePumpsManuals', 'arguments': {}}	['CranePumpsManuals', 'WebsiteTool', 'wpinteract', 'reflect_notes', 'TripTool']
Can I get a free preview of the summary?	{'plan': 'SummarizeAnything_pr', 'arguments': {}}	['word_counter', 'SummarizeAnything_pr', 'fundsdbsearch', 'bramework', 'FinanceTool']
Can I get a PDF version of the chat conversation?	{'plan': 'PDF_Exporter', 'arguments': {}}	['ai_council', 'PolishTool', 'speechki_tts_plugin', 'MixerBox_WebSearchG_web_search', 'PDF_Exporter']
Can I get a real-time horoscope?	{'plan': 'Horoscopes_by_Inner_Self', 'arguments': {}}	['BookTool', 'clearbit_integration', 'NewsTool', 'Horoscopes_by_Inner_Self', 'Dr_Thoths_Tarot']
Can I get a tailored plan?	{'plan': 'Planfit', 'arguments': {}}	['CribbageScorer', 'word_counter', 'dover_outreach', 'Planfit', 'stellarexplorer']
Can I get a workout plan?	{'plan': 'Planfit', 'arguments': {}}	['Planfit', 'mini_habits', 'lsongai', 'tailor_erp', 'GifApi']
Can I get advice from Hadith on how to deal with a difficult situation?	{'plan': 'hadith', 'arguments': {}}	['timemachine', 'magi_codex', 'hadith', 'Visla', 'DataRetrievalTool']
Can I get an AI-Coach?	{'plan': 'Planfit', 'arguments': {}}	['CreditYelp', 'MixerBox_WebSearchG_web_search', 'CribbageScorer', 'ABCmouse', 'Planfit']
Can I get assistance with a pump?	{'plan': 'CranePumpsManuals', 'arguments': {}}	['exportchat', 'photorealistic', 'CranePumpsManuals', 'dart', 'MemeTool']
Can I get help finding the right footage for my video?	{'plan': 'Visla', 'arguments': {}}	['IndoorPlants', 'Magnetis', 'reflect_notes', 'lsongai', 'Visla']
Can I get the lineup of a football match?	{'plan': 'keyplays_football', 'arguments': {}}	['AbleStyle', 'StrologyTool', 'chatspot', 'find_agency', 'keyplays_football']
Can I get the present time data through an API?	{'plan': 'timemachine', 'arguments': {}}	['MemeTool', 'search', 'timemachine', 'Discount', 'assetOvi']
Can I have my apparel delivered to my door?	{'plan': 'Bohita', 'arguments': {}}	['storybird_stories', 'Bohita', 'Tax_Calculator', 'webhooks', 'WeatherTool']
Can I log all of the conversations my company has?	{'plan': 'buildbetter', 'arguments': {}}	['tira', 'TalentOrg', 'GiftTool', 'buildbetter', 'keywordexplorer']
Can I log my chats?	{'plan': 'exportchat', 'arguments': {}}	['timeport', 'exportchat', 'aiAgents', 'AbleStyle', 'find_agency']
Can I make an automated ERP application?	{'plan': 'tailor_erp', 'arguments': {}}	['clinq', 'tailor_erp', 'Puzzle_Constructor', 'C3_Glide', 'deployscript']
Can I play a turn-based game?	{'plan': 'TicTacToe', 'arguments': {}}	['ArtCollection', 'placid', 'themeparkhipster', 'TicTacToe', 'qreator']
Can I play chess with Chatbot?	{'plan': 'Chess', 'arguments': {}}	['webhooks', 'TalentOrg', 'Chess', 'CreditYelp', 'Visla']
Can I play this game using voice or text?	{'plan': 'Sudoku', 'arguments': {}}	['Bohita', 'assetOvi', 'CompanyInfoTool', 'deployscript', 'Sudoku']
Can I produce videos from a template?	{'plan': 'placid', 'arguments': {}}	['Review', 'placid', 'MapTool', 'C3_Glide', 'total_query_meta_search_engine']
Can I roll a dice?	{'plan': 'diceroller', 'arguments': {}}	['IndoorPlants', 'AbleStyle', 'MyWritingCompanion', 'diceroller', 'buildbetter']
Can I save this conversation?	{'plan': 'reflect_notes', 'arguments': {}}	['ChartTool', 'AppyPieAIAppBuilder', 'reflect_notes', 'uberchord', 'fundsdbsearch']
Can I schedule automated messages to be sent daily?	{'plan': 'Glowing', 'arguments': {}}	['themeparkhipster', 'Glowing', 'locator', 'LarkBaseImporter', 'blockatlas']
Can I schedule calls with CLINQ?	{'plan': 'clinq', 'arguments': {}}	['clinq', 'DietTool', 'internetSearch', 'timemachine', 'kraftful']
Can I send messages to any country?	{'plan': 'Glowing', 'arguments': {}}	['web_scraper', 'AbleStyle', 'Glowing', 'lsongai', 'IndoorPlants']
Can I set up a daily message on my phone?	{'plan': 'Glowing', 'arguments': {}}	['CharityTool', 'smarttsicketsai', 'AusPetrolPrices', 'GiftTool', 'Glowing']
Can I set up call reminders?	{'plan': 'clinq', 'arguments': {}}	['JobTool', 'haulingbuddies', 'LawTool', 'clinq', 'ProductComparison']
Can I set up personal reminders sent to my phone?	{'plan': 'Glowing', 'arguments': {}}	['bramework', 'qreator', 'SEOTool', 'ProductComparison', 'Glowing']
Can I share my notebooks with others?	{'plan': 'noteable', 'arguments': {}}	['seoanalysis', 'noteable', 'Puzzle_Constructor', 'hdbcarpark', 'find_agency']
Can I talk to a League of Legends champion?	{'plan': 'champdex', 'arguments': {}}	['Creaticode_Extension_of_MIT_Scratch', 'champdex', 'MemeTool', 'timemachine', 'calculator']
Can I turn a text into a QR code?	{'plan': 'create_qr_code', 'arguments': {}}	['RoboAd', 'kraftful', 'tira', 'create_qr_code', 'HousePurchasingTool']
Can I use a plugin to generate realistic images with Midjourney?	{'plan': 'photorealistic', 'arguments': {}}	['photorealistic', 'magi_codex', 'LawTool', 'locator', 'CTCP']
Can I use Chatbot to create an SQL query?	{'plan': 'AI2sql', 'arguments': {}}	['BookTool', 'AI2sql', 'LarkBaseImporter', 'RoboAd', 'ChartTool']
Can I use Clearbit Prospecting to get insights about potential customers?	{'plan': 'clearbit_integration', 'arguments': {}}	['hubbubworld_hubbub_1', 'SSH', 'ai_council', 'clearbit_integration', 'Zapier']
Can I use Clearbit Reveal to identify anonymous website visitors?	{'plan': 'clearbit_integration', 'arguments': {}}	['clearbit_integration', 'Algorithma', 'noteable', 'SSH', 'IndoorPlants']
Can I use multiple AI agents to achieve the same goal?	{'plan': 'aiAgents', 'arguments': {}}	['CranePumpsManuals', 'ndricks_sports_api', 'CTCP', 'ExchangeTool', 'aiAgents']
Can I use natural language to communicate with my server?	{'plan': 'SSH', 'arguments': {}}	['photorealistic', 'speak', 'locator', 'SSH', 'qreator']
Can I use stock footage to create a video?	{'plan': 'Visla', 'arguments': {}}	['NotesTool', 'seoanalysis', 'Visla', 'sakenowa', 'MyWritingCompanion']
Can I use the Unsplash API to find images for my article?	{'plan': 'ImageSearch', 'arguments': {}}	['Broadway', 'ImageSearch', 'Google_Ads_Shopping_Microsoft_Ads_pay_per_click', 'airqualityforeast', 'MixerBox_Translate_AI_language_tutor']
Can you analyze a Substack newsletter for me?	{'plan': 'Substack_IQ', 'arguments': {}}	['TalentOrg', 'noteable', 'TripAdviceTool', 'blockatlas', 'Substack_IQ']
Can you analyze my query?	{'plan': 'ai_council', 'arguments': {}}	['MixerBox_Translate_AI_language_tutor', 'ai_council', 'assetOvi', 'NASATool', 'WeatherTool']
Can you analyze my server logs?	{'plan': 'AutoInfra1', 'arguments': {}}	['CreditYelp', 'chatspot', 'kraftful', 'PodcastTool', 'AutoInfra1']
